title,imdb
Pirates of the Caribbean: On Stranger Tides,6.6
Avengers: Age of Ultron,7.3
Pirates of the Caribbean: At World's End,7.1
Avengers: Endgame,8.5
Avengers: Infinity War,8.5
Titanic,7.8
Spider-Man 3,6.2
Justice League,6.4
Tangled,7.7
Harry Potter and the Half-Blood Prince,7.6
John Carter,6.6
Waterworld,6.2
Pirates of the Caribbean: Dead Man's Chest,7.3
Avatar,7.8
Batman v Superman: Dawn of Justice,6.5
Solo: A Star Wars Story,6.9
Star Wars: The Force Awakens,7.9
Star Wars: The Last Jedi,7.1
King Kong,7.2
Spider-Man 2,7.3
The Chronicles of Narnia: Prince Caspian,6.5
X-Men: The Last Stand,6.7
Beauty and the Beast,7.2
Wild Wild West,4.9
Cleopatra,7
Superman Returns,6
The Dark Knight Rises,8.4
The Lion King,7
Transformers: The Last Knight,5.2
Spectre,6.8
The Lone Ranger,6.4
Man of Steel,7.1
The Avengers,8
Captain America: Civil War,7.8
Maleficent,7
The Fate of the Furious,6.7
Pirates of the Caribbean: Dead Men Tell No Tales,6.6
Men in Black 3,6.8
Transformers: Revenge of the Fallen,6
2012,5.8
Terminator Salvation,6.5
The Hobbit: The Desolation of Smaug,7.8
Quantum of Solace,6.6
Troy,7.2
Oz the Great and Powerful,6.3
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.9
Toy Story 3,8.3
Rogue One,7.8
Battleship,5.8
Terminator 3: Rise of the Machines,6.3
Green Lantern,5.5
Cars 2,6.1
Transformers: Age of Extinction,5.6
Dawn of the Planet of the Apes,7.6
The Hobbit: The Battle of the Five Armies,7.4
The Amazing Spider-Man,6.9
The Hobbit: An Unexpected Journey,7.8
The Golden Compass,6.1
Transformers: Dark of the Moon,6.2
X-Men: Days of Future Past,8
Armageddon,6.7
Indiana Jones and the Kingdom of the Crystal Skull,6.1
The Dark Knight,9
Iron Man 3,7.2
Monsters University,7.3
Van Helsing,6.1
The Polar Express,6.6
The Amazing Spider-Man 2,6.6
Exodus: Gods and Kings,6
Evan Almighty,5.4
WALL-E,8.4
Superman,7.3
