title,rt
Pirates of the Caribbean: On Stranger Tides,0.33
Avengers: Age of Ultron,0.75
Pirates of the Caribbean: At World's End,0.44
Avengers: Endgame,0.94
Avengers: Infinity War,0.85
Titanic,0.89
Spider-Man 3,0.63
Justice League,0.4
Tangled,0.89
Harry Potter and the Half-Blood Prince,0.83
John Carter,0.52
Waterworld,0.45
Pirates of the Caribbean: Dead Man's Chest,0.53
Avatar,0.82
Batman v Superman: Dawn of Justice,0.28
Solo: A Star Wars Story,0.7
Star Wars: The Force Awakens,0.93
Star Wars: The Last Jedi,0.91
King Kong,0.84
Spider-Man 2,0.93
The Chronicles of Narnia: Prince Caspian,0.66
X-Men: The Last Stand,0.57
Beauty and the Beast,0.71
Wild Wild West,0.17
Cleopatra,0.61
Superman Returns,0.75
The Dark Knight Rises,0.87
The Lion King,0.53
Transformers: The Last Knight,0.15
Spectre,0.63
The Lone Ranger,0.31
Man of Steel,0.56
The Avengers,0.91
Captain America: Civil War,0.91
Maleficent,0.53
The Fate of the Furious,0.67
Pirates of the Caribbean: Dead Men Tell No Tales,0.3
Men in Black 3,0.68
Transformers: Revenge of the Fallen,0.2
2012,0.39
Terminator Salvation,0.33
The Hobbit: The Desolation of Smaug,0.74
Quantum of Solace,0.65
Troy,0.54
Oz the Great and Powerful,0.58
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",0.76
Toy Story 3,0.98
Rogue One,0.83
Battleship,0.34
Terminator 3: Rise of the Machines,0.69
Green Lantern,0.26
Cars 2,0.39
Transformers: Age of Extinction,0.18
Dawn of the Planet of the Apes,0.91
The Hobbit: The Battle of the Five Armies,0.59
The Amazing Spider-Man,0.72
The Hobbit: An Unexpected Journey,0.64
The Golden Compass,0.42
Transformers: Dark of the Moon,0.35
X-Men: Days of Future Past,0.9
Armageddon,0.38
Indiana Jones and the Kingdom of the Crystal Skull,0.78
The Dark Knight,0.94
Iron Man 3,0.79
Monsters University,0.8
Van Helsing,0.24
The Polar Express,0.56
The Amazing Spider-Man 2,0.52
Exodus: Gods and Kings,0.3
Evan Almighty,0.23
WALL-E,0.95
Superman,0.94
